IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
43.168.16.112,4,4,0.00,47.68,13.40,38.30,HKG,652.01
35.76.240.208,4,4,0.00,61.51,11.42,18.15,NRT,283.91
18.178.41.33,4,4,0.00,63.66,10.79,18.30,NRT,694.97
34.81.179.112,4,4,0.00,58.61,14.63,16.72,TPE,704.74
57.182.89.177,4,4,0.00,61.74,12.76,16.40,NRT,704.74
35.201.155.121,4,4,0.00,59.79,14.83,16.04,TPE,710.92
35.74.74.6,4,4,0.00,60.43,12.42,16.06,NRT,842.83
8.219.195.31,4,4,0.00,81.70,12.56,12.69,NRT,960.81
54.65.58.58,4,4,0.00,65.70,10.04,11.18,NRT,685.82
202.61.75.46,4,4,0.00,125.37,10.04,12.18,KUL,946.14
104.17.150.116,4,4,0.00,171.76,10.37,12.10,SJC,332.32
